,Yuval Berman,Marcus Korb,Kaylee Molin,Georgia Humphry,Claudio Vergara Saez,Connor Bottrell,Seth Cones,Luka Wright,Jo Pollitt,Samuel Mendez,Chong Wei,Dylan MacGregor,Nicole Feast,Kathi Froedrich,Valeria Mendez,Lucy Furfaro,Francesco De Toni,Francois Brassard,Marisa Duong,Jincheng Wang,Karissa Lear,Emma Gill,Shannon Algar,Manou Rosenberg,Bhedita Seewoo,Carlos Toro Huamanchumo,Dulce Vargas Landin,Fiona Panther,Maeva Perez,Rachel Newsome,Matthew Heydenrych,Jaqueline Diniz,Nishita Narwal,Madison Godfrey,Emily Hoffmann,Arthur Blackwood,Malik Diène,Mingxin Ye,Upama Aich,Jackson Rendall,Thomas Fellowes,Gladymar Perez Chacon,Yordanos Asgedom,Lauri Parr,Molly Schmidt,Peter Watson,Claire Doll,Karri Neldner,Curtis Rollins,Nishu Tyagi,Cassandra Tytler,Josef Richmond,Kit Prendergast
Yuval Berman,0.0,0.08068097829818727,0.28585162758827215,0.2999546766281128,0.2803807318210602,0.2020081490278244,0.23723661899566653,0.22890145778656007,0.20898365080356596,0.27867388129234316,0.19791622161865235,0.22475003004074096,0.11630932688713073,0.29806190729141235,0.19604467786848545,0.38897182941436764,0.33320581912994385,0.23846837282180788,0.3482067435979843,0.22973504886031149,0.17311741933226585,0.292775309085846,0.34774044156074524,0.2300094723701477,0.04537579417228699,0.2547164022922516,0.2409001111984253,0.34669868350029,0.19617952704429628,0.12952814102172852,0.2783700108528137,0.2615599870681763,0.08369467854499817,0.12827993035316468,0.21845307052135468,0.2465558171272278,0.1519393913447857,0.2551598072052002,0.24975000619888307,0.28122079372406006,0.17845005393028263,0.3064782410860062,0.2756083607673645,0.20089831054210663,0.14837639033794403,0.09009079486131669,0.22400552034378052,0.2515489667654038,0.22787755727767944,0.18220010697841646,0.20567957460880282,0.11746929585933685,0.19926988780498506
Marcus Korb,0.08068097829818727,0.0,0.10835345685482027,0.06529266387224197,0.10831618905067444,0.02123619578778744,0.062393054366111755,0.18007726669311525,0.07465282678604127,0.07675501480698586,0.03510694317519665,0.04177027642726898,0.00796233415603638,0.12964600250124933,0.03545289635658264,0.22981171011924748,0.06841623634099961,0.14807560816407206,0.017501768469810487,0.10968287885189057,0.01851211115717888,0.12137776464223862,0.02804531678557396,0.07049890458583832,0.027364671230316162,0.05176450908184052,0.04415273666381836,0.09073427170515061,0.095818030834198,0.08046869635581971,0.030299223959445953,0.25409156307578085,0.10084484070539475,0.026359573751688008,0.07125617638230325,-0.004647764563560489,0.3344597816467285,0.10049151591956615,0.04111682549118996,0.03161877691745758,0.225809121131897,0.07396407201886178,0.03556848242878914,0.04498042464256287,0.04424659460783004,0.2533421516418457,0.029023620486259463,0.005053298175334928,0.048118875920772554,0.04046083241701126,0.02723906077444553,0.25065704584121706,0.04846928790211678
Kaylee Molin,0.28585162758827215,0.10835345685482027,0.0,0.2754235565662384,0.17458159029483797,0.20106327533721924,0.19123947620391848,0.10859917476773262,0.22263670265674593,0.26481467485427856,0.22378038465976716,0.15448876172304155,0.34343883097171785,0.2032981589436531,0.155497944355011,0.29245980978012087,0.4102571308612824,0.1469010800123215,0.3657355546951295,0.18863670527935028,0.10269628465175629,0.2613959848880768,0.2590368092060089,0.2098560929298401,0.2382069364190102,0.36570197343826294,0.22612224742770196,0.3396715998649597,0.18533119559288025,0.12101311683654786,0.15235537737607957,0.19195426106452942,0.08819217234849931,0.12084609866142274,0.1307767003774643,0.1620870441198349,0.2844803720712662,0.3526128590106964,0.16725404411554337,0.13792644888162614,0.19429057240486147,0.22409250736236572,0.1770795471966267,0.1720437601208687,0.143711993098259,0.19789409935474397,0.09694472104310989,0.24984745606780057,0.22649117708206176,0.26146454662084584,0.19529401585459708,0.22162643373012542,0.07695119380950928
Georgia Humphry,0.2999546766281128,0.06529266387224197,0.2754235565662384,0.0,0.2184659242630005,0.2409104585647583,0.22617462277412417,0.18713602274656296,0.18764591217041016,0.3620367109775543,0.1622712552547455,0.19187716841697694,0.26162574887275697,0.22311334013938902,0.13119936957955364,0.19676033705472948,0.42667163610458375,0.24247833490371706,0.2573419094085694,0.19051620364189148,0.12563974857330323,0.30558433532714846,0.28250811100006107,0.2978825569152832,0.05653579607605935,0.1993550181388855,0.2438499078154564,0.27365476787090304,0.20275233536958698,0.04669128432869911,0.07347294539213181,0.1041181653738022,0.019754742830991746,0.13073069751262667,0.10332743711769582,0.23506128191947936,0.18054121285676955,0.35386005640029905,0.2762437343597412,0.10902951061725617,0.17665337920188906,0.14804851412773135,0.24685620963573454,0.2443616583943367,0.1850449651479721,0.10548849403858185,0.12184004485607149,0.3621649324893952,0.27969855070114136,0.26384263634681704,0.22787034809589385,0.13829829096794127,0.14454903602600097
Claudio Vergara Saez,0.2803807318210602,0.10831618905067444,0.17458159029483797,0.2184659242630005,0.0,0.1833728700876236,0.34714405536651616,0.3471781358122826,0.21188873648643497,0.17880498059093952,0.23818943798542025,0.2649318709969521,0.06352875530719757,0.168900965154171,0.17718477845191954,0.16732760071754457,0.1494638741016388,0.18390608727931979,0.11365226805210116,0.12892842888832093,0.28693237006664274,0.16626502871513368,0.25229347944259645,0.27959802448749543,0.07139501571655274,0.07431415915489198,0.07814641445875167,0.2517866551876068,0.28941704034805293,0.29085150063037873,0.13465318977832796,0.39342462718486787,0.27240705490112305,0.09493013620376586,0.36369646191596994,0.3630125522613526,0.2771357983350754,0.30380802154541015,0.33258013129234315,0.2561115384101868,0.2998098403215408,0.08122449070215226,0.18273963481187822,0.11730286777019501,0.10025953650474549,0.3031879186630249,0.3543352544307709,0.20569345355033875,0.2890312433242798,0.10202172100543976,0.17393235713243488,0.2661672115325928,0.20570072233676912
Connor Bottrell,0.2020081490278244,0.02123619578778744,0.20106327533721924,0.2409104585647583,0.1833728700876236,0.0,0.20651751458644868,0.09606528282165529,0.23530956208705903,0.13942996561527252,0.10087814629077911,0.07199141941964626,0.0858088843524456,0.20200546681880951,0.03968518972396851,0.19926204681396484,0.21921947002410888,0.16438476741313934,0.15067873597145082,0.1195947676897049,0.08392668962478637,0.11639347523450852,0.24097123444080354,0.2341239869594574,0.013066188991069795,0.10234517902135849,0.11814257577061654,0.30357140600681304,0.13226869106292724,0.08908852338790893,0.10675146579742431,0.1814082443714142,0.03252357691526413,0.04309801552444697,0.04110901057720184,0.13287260532379153,0.17185710072517396,0.2614599645137787,0.10220819860696793,0.16159726679325104,0.12456975281238555,0.07782739996910096,0.13276239708065987,0.1528632640838623,0.06512663066387177,0.23118624389171602,0.1363144338130951,0.19278275668621064,0.19550164937973025,0.07233558595180511,0.15315376222133636,0.2984480917453766,0.06010552495718002
Seth Cones,0.23723661899566653,0.062393054366111755,0.19123947620391848,0.22617462277412417,0.34714405536651616,0.20651751458644868,0.0,0.32915033102035524,0.2702889859676361,0.13385280966758728,0.49339106976985936,0.34693453311920164,0.049940633773803714,0.26157295107841494,0.22294806838035586,0.27011849582195285,0.19902719557285312,0.3269574880599976,0.2024690628051758,0.18329679071903232,0.2701360672712326,0.18820737898349763,0.29367014169692995,0.16564809679985049,0.08799897432327271,0.2783395051956177,0.21153566986322403,0.23404574394226074,0.3893280625343323,0.31599870324134827,0.2832465171813965,0.1733761191368103,0.2338675618171692,0.11323916316032409,0.26589103341102605,0.3497484773397446,0.25552062988281254,0.25819180607795716,0.3088141858577728,0.3418745011091232,0.1625543236732483,0.12410296201705934,0.19459734261035921,0.20564826130867003,0.14193070530891422,0.12977449893951418,0.2283554494380951,0.3006170094013214,0.2662042498588562,0.1046193778514862,0.29477081298828123,0.18077181577682497,0.21357912421226505
Luka Wright,0.22890145778656007,0.18007726669311525,0.10859917476773262,0.18713602274656296,0.3471781358122826,0.09606528282165529,0.32915033102035524,0.0,0.18208336234092715,0.130248586833477,0.4724227022379637,0.3438710376620293,0.08809867948293687,0.22139655500650404,0.09289603866636754,0.2681925252079964,0.2003040134906769,0.2626695424318313,0.19846063554286958,0.07365609295666219,0.21126433312892914,0.15480173751711848,0.17588577419519424,0.17915522754192353,0.036690151691436766,0.14801570251584054,0.13108814507722855,0.1761524796485901,0.4323631674051285,0.2451269954442978,0.24875745177268985,0.11845405697822572,0.2943583309650421,0.11187463700771333,0.22653086632490158,0.22841176316142084,0.3208906322717667,0.20814412832260135,0.29707416296005257,0.288758933916688,0.1610668033361435,0.06715165600180627,0.22256229035556319,0.1414921458810568,0.15189304798841477,0.1074102781713009,0.20012274384498596,0.16912874281406404,0.2193269446492195,0.09844077406451106,0.22206500321626665,0.15279143564403058,0.1871979534626007
Jo Pollitt,0.20898365080356596,0.07465282678604127,0.22263670265674593,0.18764591217041016,0.21188873648643497,0.23530956208705903,0.2702889859676361,0.18208336234092715,0.0,0.23748536705970763,0.20155267417430878,0.3145587503910065,0.11436729896813631,0.23607192039489747,0.24061342477798464,0.15684364438056947,0.19461016058921815,0.2181242495775223,0.22106164693832397,0.15201965719461444,0.2029728025197983,0.35026044547557833,0.26529352664947514,0.1061981424689293,0.10289308279752732,0.1914727330207825,0.0418858826160431,0.1959322586655617,0.21866321563720703,0.24150233268737795,0.11038582623004914,0.1326603651046753,0.12500553131103517,0.25318288505077363,0.21927185654640197,0.36774985194206244,0.12179636359214782,0.275074303150177,0.27597737908363346,0.1991518497467041,0.14274597316980364,0.233663934469223,0.1560054302215576,0.3277696669101715,0.3442435145378113,0.1698965847492218,0.28462293148040774,0.28606497645378115,0.2304487407207489,0.24386316537857058,0.6346685945987702,0.13763118386268616,0.21817979812622074
Samuel Mendez,0.27867388129234316,0.07675501480698586,0.26481467485427856,0.3620367109775543,0.17880498059093952,0.13942996561527252,0.13385280966758728,0.130248586833477,0.23748536705970763,0.0,0.19604595601558686,0.2158638060092926,0.09604444652795792,0.3663894057273865,0.11328600049018861,0.28738088309764864,0.4601811587810517,0.17885983884334566,0.2571857810020447,0.2125649333000183,0.05246249437332154,0.39282400608062745,0.27801380157470706,0.11474952846765518,0.0373711496591568,0.3644024014472962,0.20110678374767305,0.17164552137255668,0.1982776276767254,0.014662499725818635,0.12964532375335694,0.08071082159876825,0.01816488429903984,0.15570217519998553,0.1186336249113083,0.23707934021949767,0.15390565544366835,0.29585247039794926,0.22983620762825013,0.12960704416036606,0.06055253446102142,0.3331575125455857,0.33137797713279726,0.3920368492603302,0.24191456437110903,0.060989408195018774,0.15188659429550172,0.22760285139083863,0.2740503191947937,0.3262338310480118,0.33402109146118164,0.04662605971097947,0.1782344326376915
